date,PL10NUM,PL10
8020000,0,2.15
8020005,0,2.2
8020010,0,2.18
8020015,0,2.17
8020020,0,2.23
8020025,0,2.2
8020030,0,2.17
8020035,0,2.19
8020040,0,2.2
8020045,0,2.19
8020050,0,2.23
8020055,0,2.22
8020100,0,2.21
8020105,0,2.15
8020110,0,2.18
8020115,0,2.23
8020120,0,2.2
8020125,0,2.19
8020130,0,2.24
8020135,0,2.19
8020140,0,2.22
8020145,0,2.2
8020150,0,2.26
8020155,0,2.25
8020200,0,2.23
8020205,0,2.24
8020210,0,2.21
8020215,0,2.24
8020220,0,2.2
8020225,0,2.18
8020230,0,2.2
8020235,0,2.23
8020240,0,2.23
8020245,0,2.21
8020250,0,2.13
8020255,0,2.2
8020300,0,2.22
8020305,0,2.24
8020310,0,2.23
8020315,0,2.26
8020320,0,2.21
8020325,0,2.14
8020330,0,2.2
8020335,0,2.18
8020340,0,2.23
8020345,0,2.2
8020350,0,2.19
8020355,0,2.21
8020400,0,2.24
8020405,0,2.23
8020410,0,2.25
8020415,0,2.25
8020420,0,2.26
8020425,0,2.24
8020430,0,2.13
8020435,0,2.19
8020440,0,2.19
8020445,0,2.23
8020450,0,2.27
8020455,0,2.22
8020500,0,2.22
8020505,0,2.19
8020510,0,2.17
8020515,0,2.23
8020520,0,2.22
8020525,0,2.32
8020530,0,2.27
8020535,0,2.18
8020540,0,2.21
8020545,0,2.21
8020550,0,2.21
8020555,0,2.23
8020600,0,2.24
8020605,0,2.23
8020610,0,2.21
8020615,0,2.24
8020620,0,2.21
8020625,0,2.2
8020630,0,2.23
8020635,0,2.22
8020640,0,2.2
8020645,0,2.18
8020650,0,2.04
8020655,0,2.21
8020700,0,2.23
8020705,0,2.23
8020710,0,2.21
8020715,0,2.2
8020720,0,2.16
8020725,0,2.18
8020730,0,2.2
8020735,0,2.23
8020740,0,2.22
8020745,0,2.22
8020750,0,2.15
8020755,0,2.15
8020800,0,2.15
8020805,0,2.16
8020810,0,2.28
8020815,0,2.27
8020820,0,2.2
8020825,0,2.2
8020830,0,2.21
8020835,0,2.28
8020840,0,2.2
8020845,0,2.23
8020850,0,2.24
8020855,0,2.26
8020900,0,2.18
8020905,0,2.1
8020910,0,2.2
8020915,0,2.18
8020920,0,2.26
8020925,0,2.23
8020930,0,2.26
8020935,0,2.14
8020940,0,2.14
8020945,0,2.16
8020950,0,2.19
8020955,0,2.22
8021000,0,2.21
8021005,0,2.16
8021010,0,2.13
8021015,0,2.17
8021020,0,2.15
8021025,0,2.23
8021030,0,2.2
8021125,0,2.21
8021130,0,2.24
8021135,0,2.19
8021140,0,2.25
8021145,0,2.25
8021150,0,2.13
8021155,0,2.16
8021200,0,2.22
8021205,0,2.24
8021210,0,2.21
8021215,0,2.22
8021220,0,2.25
8021225,0,2.14
8021230,0,2.13
8021235,0,2.21
8021240,0,2.16
8021245,0,2.15
8021250,0,2.21
8021255,0,2.24
8021300,0,2.21
8021305,0,2.15
8021310,0,2.19
8021315,0,2.22
8021320,0,2.21
8021325,0,2.25
8021330,0,2.17
8021355,0,2.17
8021400,0,2.18
8021405,0,2.18
8021410,0,2.12
8021415,0,2.18
8021420,0,2.18
8021425,0,2.26
8021430,0,2.18
8021435,0,2.23
8021440,0,2.17
8021445,0,2.17
8021450,0,2.14
8021455,0,2.14
8021500,0,2.15
8021505,0,2.02
8021510,0,2.24
8021515,0,2.09
8021520,0,2.06
8021525,0,2.2
8021530,0,2.13
8021535,0,2.2
8021540,0,2.26
8021545,0,2.13
8021555,0,2.17
8021600,0,2.22
8021605,0,2.1
8021610,0,2.12
8021615,0,2.12
8021620,0,2.12
8021625,0,2.17
8021630,0,2.15
8021640,0,2.21
8021645,0,2.33
8021650,0,2.19
8021655,0,2.19
8021700,0,2.14
8021705,0,2.09
8021710,0,2.07
8021720,0,2.03
8021725,0,2.22
8021730,0,2.09
8021745,0,2.16
8021750,0,2.26
8021755,0,2.35
8021800,0,2.15
8021805,0,2.18
8021810,0,2.06
8021815,0,2.15
8021820,0,2.1
8021825,0,2.11
8021830,0,2.13
8021835,0,2.1
8021840,0,2.13
8021845,0,2.12
8021850,0,2.21
8021855,0,2.14
8021900,0,2.18
8021905,0,2.12
8021910,0,2.14
8021915,0,2.09
8021920,0,2.08
8021925,0,2.1
8021930,0,2.09
8021935,0,2.13
8021940,0,2.15
8021945,0,2.14
8021950,0,2.1
8021955,0,2.1
8022000,0,2.13
8022005,0,2.11
8022010,0,2.14
8022015,0,2.17
8022020,0,2.17
8022025,0,2.04
8022030,0,2.11
8022035,0,2.12
8022040,0,2.14
8022045,0,2.19
8022050,0,2.14
8022055,0,2.09
8022100,0,2.17
8022105,0,2.09
8022110,0,2.08
8022115,0,2.12
8022120,0,2.13
8022125,0,2.16
8022130,0,2.11
8022135,0,2.08
8022140,0,2.1
8022145,0,2.12
8022150,0,171
8022155,0,2.16
8022200,0,2.12
8022205,0,2.07
8022210,0,2.12
8022215,0,2.14
8022220,0,2.15
8022225,0,2.1
8022230,0,2.18
8022235,0,2.16
8022240,0,2.1
8022245,0,2.18
8022250,0,2.11
8022255,0,2.12
8022300,0,2.15
8022305,0,2.2
8022310,0,2.18
8022315,0,2.19
8022320,0,2.18
8022325,0,2.19
8022330,0,2.14
8022335,0,2.2
8022340,0,2.23
8022345,0,2.18
8022350,0,2.12
8022355,0,2.1
8030000,0,2.13
8030005,0,2.21
8030010,0,2.23
8030015,0,2.21
8030020,0,2.17
8030025,0,2.16
8030030,0,2.21
8030035,0,2.15
8030040,0,2.16
8030045,0,2.15
8030050,0,2.18
8030055,0,2.13
8030100,0,2.12
8030105,0,2.12
8030110,0,2.14
8030115,0,2.16
8030120,0,2.2
8030125,0,2.17
8030130,0,2.15
8030135,0,2.12
8030140,0,2.19
8030145,0,2.18
8030150,0,2.23
8030155,0,2.24
8030200,0,2.19
8030205,0,2.18
8030210,0,2.14
8030215,0,2.19
8030220,0,2.22
8030225,0,2.19
8030230,0,2.19
8030235,0,2.21
8030240,0,2.2
8030245,0,2.19
8030250,0,2.18
8030255,0,2.2
8030300,0,2.23
8030305,0,2.21
8030310,0,2.16
8030315,0,2.19
8030320,0,2.17
8030325,0,2.15
8030330,0,2.2
8030335,0,2.22
8030340,0,2.23
8030345,0,2.15
8030350,0,2.18
8030355,0,2.33
8030400,0,2.19
8030405,0,2.2
8030410,0,2.17
8030415,0,2.19
8030420,0,2.14
8030425,0,2.12
8030430,0,2.13
8030435,0,2.16
8030440,0,2.18
8030445,0,2.18
8030450,0,2.2
8030455,0,2.19
8030500,0,2.16
8030505,0,2.23
8030510,0,2.22
8030515,0,2.21
8030520,0,2.17
8030525,0,2.24
8030530,0,2.14
8030535,0,2.22
8030540,0,2.2
8030545,0,2.19
8030550,0,2.21
8030555,0,2.19
8030600,0,2.2
8030605,0,2.16
8030610,0,2.21
8030615,0,2.19
